main_id,otype_txt,ra,dec,z,radvel,Vmag,dist_pc,name,long
NGC   147,GiG,8.300500000000001,48.50873888888889,-0.000644,-193.1,9.5,1211428,NGC   147,Galaxy in Group of Galaxies
NGC   185,Sy2,9.741541666666665,48.337377777777775,-0.00068,-203.8,9.2,1140000,NGC   185,Seyfert 2 Galaxy
NGC   891,H2G,35.6371125,42.34831944444444,0.001763,528.0,9.93,9319280,NGC   891,HII Galaxy
IC   10,G,5.0965,59.29297222222224,-0.00116,-348.0,9.5,742860,IC   10,Galaxy
NGC  2403,AGN,114.21415,65.60254722222223,0.00043,128.88,8.38,3310525,NGC  2403,Active Galaxy Nucleus
M  81,Sy2,148.88822108929165,69.06529470194447,-0.00014,-41.97,6.94,3770833,M  81 | Bode's Galaxy,Seyfert 2 Galaxy
M 102,SyG,226.6231708333333,55.76330833333333,0.002528,756.92,9.89,14582057,M 102,Seyfert Galaxy
NGC  4125,GiP,182.0250708333333,65.17413333333333,0.004483,1340.96,9.72,22691150,NGC  4125,Galaxy in Pair of Galaxies
NGC  2768,SyG,137.90626666666665,60.03720833333334,0.00459,1372.89,9.87,22171500,NGC  2768,Seyfert Galaxy
M 101,GiP,210.80242916666663,54.34875,0.000811,243.03,7.86,6605788,M 101 | Pinwheel,Galaxy in Pair of Galaxies
NGC  2841,LIN,140.5110625,50.97647777777779,0.0019,569.06,9.22,15373472,NGC  2841,LINER-type Active Galaxy Nucleus
NGC  5195,GiP,202.4982916666666,47.26612777777778,0.001908,571.45,9.55,7621428,NGC  5195,Galaxy in Pair of Galaxies
M  51,GiP,202.469575,47.195258333333335,0.001551,464.64,8.36,7457142,M  51 | Whirlpool Galaxy,Galaxy in Pair of Galaxies
M 106,Sy2,184.7400833333333,47.30371944444444,0.001541,461.62,8.41,7202369,M 106,Seyfert 2 Galaxy
NGC  1232,EmG,47.43964166666666,-20.5793,0.005611,1677.4,9.87,19816666,NGC  1232,Emission-line galaxy
NGC  1365,Sy1,53.40190833333333,-36.14065833333333,0.005476,1637.1,9.63,19505355,NGC  1365,Seyfert 1 Galaxy
NGC  1316,GiP,50.674120833333326,-37.208200000000005,0.005911,1766.84,8.53,19664000,NGC  1316 | Fornax A,Galaxy in Pair of Galaxies
NGC  1380,GiP,54.11495833333333,-34.9763,0.00616,1841.0,9.93,19737500,NGC  1380,Galaxy in Pair of Galaxies
NGC  1399,BiC,54.62117916666666,-35.450741666666666,0.004755,1422.0,9.59,20001450,NGC  1399,Brightest galaxy in a Cluster (BCG)
NGC  1808,Sy2,76.92642916666668,-37.513050000000014,0.003343,1000.4,9.94,11083270,NGC  1808,Seyfert 2 Galaxy
NAME CMa Dwarf Galaxy,G,108.15,-27.666666666666668,0.00029,87.0,-0.1,7700,CMa Dwarf Galaxy,Galaxy
NGC  2683,AGN,133.17227083333333,33.4218,0.001364,408.72,9.79,9350000,NGC  2683,Active Galaxy Nucleus
NAME Fornax Dwarf Spheroidal,G,39.99708333333333,-34.44916666666666,0.000184,55.3,7.4,136000,Fornax Dwarf Spheroidal,Galaxy
NGC    55,GiG,3.723341666666666,-39.19662777777777,0.00043,129.0,7.87,2262500,NGC    55,Galaxy in Group of Galaxies
NGC   300,GiG,13.7226916941068,-37.6842174896297,0.000487,146.0,8.13,2307875,NGC   300,Galaxy in Group of Galaxies
NGC  1097,LIN,41.5794125,-30.274911111111106,0.004218,1261.8,9.48,15967310,NGC  1097,LINER-type Active Galaxy Nucleus
NAME Sculptor Dwarf Galaxy,G,15.039166666666668,-33.7088888888889,0.000372,111.4,8.6,81050,Sculptor Dwarf Galaxy,Galaxy
NGC  7793,GiG,359.45730575308795,-32.591030084626304,0.000757,226.8,9.28,3590227,NGC  7793,Galaxy in Group of Galaxies
MCG-05-56-033,GiG,358.3553222583369,-29.5381177173629,0.02892,8544.68,9.75,117210000,MCG-05-56-033,Galaxy in Group of Galaxies
ESO 471-49,GiG,359.3690824867099,-29.0476315507944,0.029434,8694.28,8.75,120612000,ESO 471-49,Galaxy in Group of Galaxies
ESO 409-7,G,0.6346333333333333,-30.62171666666666,0.030461,8993.0,9.77,Unknown,ESO 409-7,Galaxy
ESO 409-12,BiC,1.175945833333334,-30.48355000000001,0.026675,7890.34,9.29,104280000,ESO 409-12,Brightest galaxy in a Cluster (BCG)
ESO 411-34,EmG,14.445516666666668,-27.501625,0.018824,5590.3,9.69,Unknown,ESO 411-34,Emission-line galaxy
