oid,main_id,otype_txt,ra,dec,z,radvel,Vmag,dist_pc,name,long
434630,M  81,Sy2,148.88822108929162,69.06529470194447,-0.00014,-41.97,6.94,3770833,M  81 | Bode's Galaxy,Seyfert 2 Galaxy
964378,NAME CMa Dwarf Galaxy,G,108.15,-27.66666666666667,0.00029,87.0,-0.1,7700,CMa Dwarf Galaxy,Galaxy
1522778,M  33,GiG,23.4621,30.659941666666665,-0.000598,-179.2,5.72,1287500,M  33 | Triangulum Galaxy,Galaxy in Group of Galaxies
1575544,M  31,G,10.684708333333333,41.26875,-0.001,-300.0,3.44,770818,M  31 | Andromeda Galaxy,Galaxy
2288141,MCG+02-37-031,GiP,220.57116666666664,8.996508333333333,0.031442000000000005,9277.96,7.0,Unknown,MCG+02-37-031,Galaxy in Pair of Galaxies
2395134,NAME SDG,G,283.7629166666667,-30.47833333333333,0.00046699999999999997,140.0,3.6,20000,SDG | Sagittarius Dwarf Galaxy,Galaxy
3133169,NAME LMC,G,80.89416666666666,-69.75611111111111,0.000875,262.2,0.4,50000,LMC | Large Magellanic Cloud,Galaxy
3253618,NAME SMC,G,13.158333333333333,-72.80027777777777,0.00048600000000000005,145.6,2.2,59959,SMC | Small Magellanic Cloud,Galaxy
3392496,NAME Centaurus A,Sy2,201.3650628793333,-43.019112667361114,0.0018260000000000001,547.0,6.84,4462366,Centaurus A,Seyfert 2 Galaxy
