hip,ra,dec,Vmag,plx,period,SpType,main_id,NAME,rgb,otype_txt,oid,temp
35567,110.09563635,-56.29464669,6.57,14.25,,A1V,HD  57969,,"rgb(214,226,255)",PM*,3021573,8922
35576,110.12945517,0.40361839,6.88,2.33,,B9,HD  57275,,"rgb(200,217,253)",**,972227,10277
35578,110.13556376,-26.70023602,6.74,11.08,,A7m...,HD  57527,,"rgb(231,236,255)",PM*,979750,7809
35589,110.1616963,-52.08592415,5.38,6.61,,B9V,HD  57917,,"rgb(195,213,254)",*,3008709,11076
35588,110.16255691,-52.19870567,6.9,5.84,,F3/F5V,HD  57918,,"rgb(199,216,253)",*,3008726,10434
35595,110.18199545,3.58166253,6.88,1.5,,B5,HD  57291,,"rgb(187,209,255)",*,971795,12775
35603,110.20810335,-51.40463412,6.79,7.29,,A3V,HD  57949,,"rgb(215,226,255)",*,2995530,8885
35609,110.22120654,-22.85042772,6.59,1.86,,B3V,HD  57573,,"rgb(189,210,255)",*,977962,12235
35611,110.22881586,-26.96383792,6.0,1.81,,B3V,V* HQ CMa,,"rgb(186,208,255)",EB*,979475,12945
35615,110.2428566,-14.36048932,5.59,5.86,,G8/K0III,HD  57478,,"rgb(255,226,200)",*,975711,4813
35623,110.26291191,42.65591292,6.33,4.05,,K0,HD  56941,,"rgb(254,206,161)",*,966292,3943
35626,110.26805285,-25.89164338,5.87,4.51,,M3III,V* MZ CMa,,"rgb(253,198,145)",LP*,978742,3643
35642,110.32002225,-8.87790033,6.56,26.24,,F5,HD  57517,,"rgb(252,243,243)",PM*,974598,6247
35643,110.32290992,45.22819985,5.74,28.99,,A7s,HD  56963,,"rgb(240,241,255)",*,440332,7204
35648,110.34232789,-48.52706147,6.83,5.02,,B9V,HD  58017,,"rgb(195,213,254)",*,2978319,11061
35660,110.36865829,-28.19119637,7.0,4.28,,G8III,HD  57758,,"rgb(255,226,200)",*,979535,4810
35662,110.37873153,37.66277989,6.88,8.15,,K0,HD  57104,,"rgb(255,223,193)",PM*,966642,4630
35669,110.39429735,-5.89718647,6.6,2.07,,B5III,HD  57539,,"rgb(192,212,254)",Be*,973951,11640
35676,110.42120809,-61.95141142,6.92,6.51,,Ap...,V* V389 Car,,"rgb(193,212,254)",a2*,3051035,11472
35690,110.4611081,75.08951981,6.96,7.06,1.8,A2,V* EV Cam,,"rgb(205,220,254)",a2*,346908,9754
35699,110.48691986,20.44365827,5.09,7.61,,M0III,*  56 Gem,,"rgb(254,201,150)",PM*,969912,3751
35707,110.5085602,-8.97937729,6.42,-0.81,,O9V,HD  57682,,"rgb(185,207,255)",*,974602,13325
35710,110.51090261,36.76058415,5.12,13.9,,K0III,*  65 Aur,,"rgb(255,221,189)",PM*,967033,4554
35712,110.51449432,0.1771207,5.99,0.61,,B8III,HD  57608,,"rgb(195,213,254)",*,972308,11076
35725,110.55587458,38.99594388,6.4,6.12,,K0,HD  57263,,"rgb(255,214,177)",*,966668,4275
35727,110.55637088,-19.01660007,4.94,6.31,,B5II/III,HD  57821,,"rgb(197,215,253)",*,977110,10639
35733,110.56822401,-35.91623883,6.68,17.58,,F:...,HD 58038,,"rgb(253,242,241)",**,981222,6132
35735,110.5716019,59.90199604,6.36,14.23,,A8m,*  47 Cam,,"rgb(235,238,255)",*,395340,7578
35737,110.57746345,-2.97917524,6.23,5.52,,F5,HD  57708,,"rgb(255,239,229)",*,973468,5650
35740,110.58182072,-16.31129872,6.98,4.5,,K3III,HD  57820,,"rgb(254,206,160)",*,976523,3927
35746,110.59621366,-20.50666399,6.96,4.05,,M4III,V* GH CMa,,"rgb(253,198,144)",LP*,977204,3635
35749,110.60578995,-5.98282858,5.83,3.59,,F3IV,HD  57749,,"rgb(241,241,254)",dS*,973954,7146
35751,110.61799681,0.70083112,6.43,14.51,,G5,HD  57707,,"rgb(255,225,198)",PM*,972309,4754
35754,110.62852014,-0.25934853,6.78,5.38,,B9,HD  57733,,"rgb(196,214,253)",*,972725,10838
35761,110.64854215,-32.04601476,6.82,1.8,,B3III,HD  58063,,"rgb(186,208,255)",V*,980930,12923
35783,110.71182955,55.28431963,6.86,8.94,,B9V,*  19 Lyn B,,"rgb(196,214,253)",*,395917,10809
35785,110.71687911,55.28139167,5.8,6.96,,B8V,*  19 Lyn A,,"rgb(194,213,254)",SB*,395874,11215
35790,110.73729392,-55.57716714,6.89,11.86,,K0/K1III,HD  58540,,"rgb(255,223,193)",PM*,3021555,4641
35795,110.75290455,-31.92378114,5.4,2.28,,B3V,HD  58155,,"rgb(187,209,255)",Be*,980248,12712
35796,110.75578579,15.35894568,6.66,0.49,,G2II,HD  57728,,"rgb(255,229,206)",*,970535,4967
35803,110.7691936,18.27341166,6.78,22.68,,F2,HD  57703,,"rgb(248,243,249)",PM*,970219,6600
35809,110.77845905,-70.6366116,6.75,7.6,,K1III,HD  59239,,"rgb(255,221,190)",PM*,3149943,4567
35830,110.8316632,-36.34014749,6.74,1.21,,B2/B3Vp,HD  58260,,"rgb(190,210,255)",*,981335,12121
35842,110.86723818,22.94534916,6.17,10.46,,A1V,*  58 Gem,,"rgb(202,218,253)",*,969570,10051
35846,110.86879684,25.05053128,5.04,21.17,,G8III,*  57 Gem,,"rgb(255,230,207)",PM*,969200,4991
35848,110.87080145,-27.83429354,5.37,5.94,,K4III,HD  58215,,"rgb(254,200,150)",V*,979506,3735
35855,110.88289728,-32.20206752,5.41,2.82,,B2/B3II/III,HD  58286,,"rgb(187,208,255)",*,980744,12880
35884,110.97423535,-17.41343553,6.84,29.37,,F7V,HD  58192,,"rgb(250,243,246)",PM*,976693,6439
35887,110.9768057,-30.21701055,6.61,1.56,,B2III,HD  58325,,"rgb(184,207,255)",*,980207,13536
35893,110.99306182,-35.83782358,6.32,4.68,,B5V,HD  58420,,"rgb(189,210,255)",*,981229,12216
35904,111.02376056,-29.3031036,2.45,1.02,,B5Ia,* eta CMa,Aludra,"rgb(194,213,254)",s*b,980703,11294
35906,111.03331114,-28.82788197,6.79,1.63,,B3III,HD  58377,,"rgb(188,209,255)",*,979563,12488
35907,111.03528435,40.67238935,5.23,4.48,,K0III,*  66 Aur,,"rgb(255,213,174)",*,966354,4214
35910,111.03910712,-58.49194861,6.58,20.61,,G5IV,HD  58895,,"rgb(255,238,226)",PM*,3035190,5567
35920,111.07180885,-22.91275803,6.2,5.0,,B8/B9V,HD  58346,,"rgb(193,212,254)",*,977963,11374
35922,111.07267176,-18.34815972,6.95,7.69,,A7IV,HD  58305,,"rgb(231,236,255)",PM*,976616,7844
35929,111.1023815,10.24566812,6.9,1.77,,G5,HD  58072,,"rgb(255,229,205)",*,971152,4951
35933,111.11520001,15.51719525,6.47,0.67,,B2Ve,HD  58050,,"rgb(185,207,255)",Be*,970629,13348
35941,111.13938953,27.63785656,5.77,15.57,,F0:III:,*  59 Gem,,"rgb(243,242,254)",*,968754,7055
35946,111.15469862,-71.47065691,6.49,12.9,,A3V,HD  59640,,"rgb(216,227,255)",*,3149956,8838
35951,111.16744816,-16.20147272,5.18,3.45,,B2Vne,HD  58343,,"rgb(198,215,253)",Be*,976763,10583
35957,111.18272304,-31.80890499,5.35,5.91,,K1III,HD  58535,,"rgb(255,222,190)",*,980256,4578
35960,111.19731075,-37.29119316,6.14,4.7,0.12,A8V,CD-37 3549,,"rgb(233,237,255)",**,981294,7719
35975,111.21200963,-19.01227944,6.24,1.83,,A2Ib/II,HD  58439,,"rgb(236,239,255)",*,977119,7519
35984,111.23786563,51.88725855,5.8,2.84,,K5III,HD  57646,,"rgb(253,198,144)",*,413825,3635
35987,111.24241421,11.6695236,5.37,10.28,,A5IV,*   1 CMi,,"rgb(214,225,255)",*,970888,8979
35995,111.27830558,-14.8832228,6.76,6.85,,A1V,HD  58462,,"rgb(206,220,254)",*,975840,9629
35997,111.28319545,-21.17385333,6.8,0.22,,B1Ia,HD 58510,,"rgb(215,226,255)",**,978231,8866
35998,111.28464776,-13.75197777,5.79,28.72,,F3V,HD  58461,,"rgb(247,243,250)",PM*,975782,6714
36017,111.33323049,-21.98259115,6.04,1.03,,A6II,HD  58585,,"rgb(229,235,255)",*,977938,7959
36019,111.3415069,81.25745606,6.3,3.92,,A0III,HD  55075,,"rgb(198,215,253)",*,346229,10529
36024,111.35528272,-25.21776666,5.79,1.01,,B5III,HD  58612,,"rgb(192,212,254)",*,978717,11623
36034,111.39058655,-19.43774177,6.9,2.28,,K3III,HD  58609,,"rgb(254,201,152)",*,977154,3774
36035,111.39706187,20.49513988,6.92,7.99,,A5...,HD 58246,,"rgb(240,240,255)",**,969920,7264
36039,111.4087348,-79.09418819,5.54,6.99,,K2/K3III,* eps Men,,"rgb(254,211,171)",*,3209637,4155
36041,111.41207071,9.27609733,4.99,3.3,,G8III,* eps CMi,,"rgb(255,225,198)",*,971180,4764
36045,111.42908128,-31.73872057,6.32,3.3,,B2/B3III,HD  58766,,"rgb(186,208,255)",*,980257,13032
36046,111.43165048,27.7980804,3.78,25.9,,G9III+...,* iot Gem,,"rgb(255,224,195)",**,968750,4685
36055,111.46333436,-5.77496087,5.98,1.72,,CIb...,HD  58526,,"rgb(255,230,207)",*,973965,4993
36056,111.46652182,48.54776603,6.77,5.22,,B9,HD  57950,,"rgb(197,214,253)",*,439964,10752
36060,111.47554037,18.14747266,6.93,1.45,,G5,HD  58338,,"rgb(255,230,208)",*,970224,5009
36068,111.48374524,-14.17876418,6.82,3.61,,B9IV,HD  58647,,"rgb(205,220,254)",Em*,975977,9754
36071,111.48840479,-2.24846875,6.99,28.07,,G0,HD  58556,,"rgb(253,242,240)",*,972814,6095
36080,111.5141178,-4.53737472,6.78,6.21,,A0IV,HD  58580,,"rgb(201,217,253)",*,973513,10226
36081,111.51504736,-15.66591736,6.88,23.59,,G1/G2V,HD  58696,,"rgb(254,241,235)",PM*,975890,5890
36114,111.59104412,-51.01848117,5.09,5.8,,K0III,HD  59219,,"rgb(255,223,194)",*,2995519,4653
36120,111.60541314,-10.08950146,6.97,5.26,,A2,HD  58693,,"rgb(223,231,255)",*,974657,8361
36123,111.6157773,10.60806677,6.38,10.33,,A2IV,HD  58552,,"rgb(210,223,255)",*,970905,9245
36134,111.64926656,-13.18898215,6.93,2.41,,B8/B9II/III,HD  58791,,"rgb(201,217,253)",*,976073,10188
36140,111.66951345,-23.71261349,6.62,4.1,,A0IV,HD  58907,,"rgb(201,217,253)",*,978045,10150
36141,111.67172374,11.00883282,6.39,2.58,,B7II-III,HD  58599,,"rgb(190,211,254)",*,970895,12029
36143,111.67694074,-34.14069246,5.9,3.35,,B4V,HD  59026,,"rgb(188,209,255)",*,980814,12548
36145,111.67854711,49.21152684,4.61,13.11,,A1V,*  21 Lyn,,"rgb(201,217,253)",PM*,439659,10137
36152,111.70938612,21.53564511,6.54,32.43,,F6V,HD 58551,,"rgb(249,243,248)",PM*,969618,6556
36156,111.73471007,20.25755681,5.94,8.04,,F2Vn,*  61 Gem,,"rgb(240,240,255)",**,969924,7240
36163,111.74387104,43.25841764,6.66,2.76,,K2,HD  58295,,"rgb(254,208,163)",*,453606,4000
36168,111.74784546,-23.08602346,5.65,2.3,,B1II,HD  58978,,"rgb(190,210,255)",Be*,978175,12178
36186,111.78328997,-17.86486132,5.6,11.63,0.17,F2V,V* NR CMa,,"rgb(238,240,255)",dS*,976694,7374
36188,111.78767771,8.28931548,2.89,19.16,,B8Vvar,* bet CMi,Gomeisa,"rgb(192,212,254)",Be*,971213,11522
36189,111.78797937,11.95499501,6.58,3.74,,K0,HD  58686,,"rgb(255,230,207)",*,970869,4988
36207,111.84970678,39.31506303,6.99,13.65,,K0,HD  58451,,"rgb(255,224,195)",PM*,966676,4681
36210,111.85611008,-51.40260111,6.72,44.43,,G5IV-V,HD  59468,,"rgb(255,239,228)",PM*,3008867,5622
36211,111.85766018,66.33157133,6.47,3.65,,B9III,HD  57742,,"rgb(195,214,253)",*,381880,11000
36224,111.89209355,38.66606464,6.92,7.18,,G5,HD  58497,,"rgb(255,230,207)",*,966691,4996
36225,111.89368609,-18.49188789,6.92,5.09,,B9II,HD  59074,,"rgb(194,213,254)",*,977475,11310
36232,111.9189045,22.1414591,6.78,2.06,,K5,HD  58712,,"rgb(253,195,139)",*,969598,3541
36236,111.92890727,-22.85919859,5.98,3.7,,B5III,HD  59136,,"rgb(193,212,254)",*,977966,11374
36238,111.93484743,21.44524741,5.2,29.38,,F5IV-V...,*  63 Gem,,"rgb(248,243,249)",SB*,969658,6600
36251,111.96525556,-11.55686729,5.79,3.23,,B8Vv comp VB,BD-11  1951,,"rgb(254,242,238)",**,975352,6034
36258,111.99650256,-29.15589616,5.55,4.84,,B9Vsp...,HD  59256,,"rgb(197,214,253)",*,980398,10766
36260,111.99894176,-2.88217964,6.89,6.96,,K0,HD  59018,,"rgb(255,224,196)",*,973476,4716
36264,112.00803784,-26.83897405,6.26,4.91,,K4III,HD  59235,,"rgb(254,201,152)",*,979493,3774
36265,112.0086446,6.94196793,5.22,9.28,,F0III,* eta CMi,,"rgb(228,234,255)",*,971505,8003
36281,112.03601272,46.52169398,6.86,8.8,,A2,HD  58520,,"rgb(214,226,255)",PM*,440005,8922
36284,112.0408102,8.92552991,4.33,8.2,,K3III SB,* gam CMi,,"rgb(254,205,159)",SB*,971189,3909
36287,112.04757307,-58.07287178,6.52,4.93,,G8III,HD  59780,,"rgb(255,228,204)",*,3035161,4901
36304,112.09576259,-37.81016835,6.54,9.43,,A1IV,HD  59466,,"rgb(208,222,254)",*,981517,9422
36320,112.14309078,-10.04375075,6.63,1.76,,B3V,HD  59211,,"rgb(192,212,254)",V*,974673,11589
36325,112.16626285,27.55293843,6.36,10.16,,K2III,HD  58898,,"rgb(255,214,176)",*,968761,4264
36328,112.17116296,-29.11867905,6.67,8.87,,K1III,HD  59411,,"rgb(255,219,185)",PM*,980400,4461
36334,112.18140125,47.9207535,6.66,4.81,,M3,V* BY Lyn,,"rgb(254,203,155)",LP*,439971,3833
36340,112.19688921,15.10982252,6.23,4.24,,B9IV,HD  59059,,"rgb(197,215,253)",*,970561,10653
36345,112.213132,-31.84840087,5.95,5.6,,B3V+...,CD-31  4590,,"rgb(188,209,255)",**,980938,12609
36346,112.21420326,-64.50980452,6.38,4.79,,K5III,HD  60150,,"rgb(254,200,148)",*,3066171,3714
36348,112.21450945,48.18392976,5.7,7.95,,B9MNp...,HD  58661,,"rgb(193,212,254)",**,439973,11440
36351,112.21927571,46.31461764,6.42,9.67,,K0,HD  58681,,"rgb(255,215,178)",PM*,453269,4304
36355,112.23617609,-34.91837198,6.92,3.26,,B5V,HD  59527,,"rgb(191,211,254)",*,981211,11884
36362,112.27047557,-31.45621622,5.78,2.85,,B2IV,HD  59550,,"rgb(185,208,255)",*,980260,13233
36363,112.27373029,-38.81206499,5.41,5.86,,B3V,* y Pup,,"rgb(188,210,255)",XB*,981550,12448
36364,112.27410006,-18.87521414,6.94,2.48,,K1III,HD  59408,,"rgb(255,215,178)",*,977135,4308
36366,112.27799603,31.78455041,4.16,54.06,,F0V...,* rho Gem,,"rgb(239,240,255)",PM*,967559,7337
36371,112.29719639,12.76002167,6.58,9.61,,A5,HD  59152,,"rgb(229,235,255)",*,970855,7959
36374,112.30354044,11.58126055,7.0,6.87,,K0,HD  59180,,"rgb(255,223,194)",*,970897,4657
36377,112.30762638,-43.30143257,3.25,17.74,130.5,K5III SB,* sig Pup,Hadir,"rgb(254,202,152)",SB*,2962855,3780
36388,112.32778582,-1.90532891,5.6,2.0,,K5III,HD  59311,,"rgb(254,202,153)",*,972801,3804
36389,112.32844309,6.58211159,6.58,7.14,,G5,HD  59227,,"rgb(255,225,197)",PM*,971535,4735
36393,112.33517215,28.1182752,5.07,20.0,,A4V,*  64 Gem,,"rgb(216,227,255)",PM*,968739,8838
36395,112.34109655,-14.99865669,6.05,29.31,,F5V,HD 59438,,"rgb(250,243,247)",**,975868,6485
36396,112.34211123,-10.32666364,5.75,3.52,,K5III,HD  59381,,"rgb(253,197,144)",V*,974697,3626
36399,112.35683292,-7.55116823,5.86,35.95,,F8V,HD  59380,,"rgb(250,243,246)",SB*,974040,6448
36411,112.37809294,19.63317234,6.73,4.84,,K0,HD  59149,,"rgb(254,212,171)",*,969950,4157
36425,112.44909518,12.0065642,4.55,5.82,,K2III,*   6 CMi,,"rgb(254,212,171)",V*,970877,4164
36429,112.45318889,27.91614658,5.01,8.51,,K2III,* b Gem,,"rgb(255,219,186)",SB*,968740,4478
36431,112.4642186,-23.02428723,4.85,1.01,,A6Ib/II,HD  59612,,"rgb(231,236,255)",*,977968,7844
36439,112.48315051,49.67246274,5.35,50.25,,F6V,*  22 Lyn,,"rgb(249,243,248)",PM*,439664,6528
36444,112.49884713,-52.65115746,5.87,9.87,,K0III,HD  60060,,"rgb(255,225,196)",PM*,3008757,4718
36452,112.50901215,-19.52665121,6.72,2.61,,K3III,HD  59610,,"rgb(254,202,153)",*,994249,3807
36463,112.54308036,38.16947012,6.99,15.47,,G0,HD  59106,,"rgb(251,243,246)",PM*,982504,6397
36474,112.57734961,-40.98921694,6.55,7.53,,G8III,HD  59894,,"rgb(255,227,201)",*,999413,4840
36489,112.6191589,-50.60897186,6.55,8.55,,A0V,HD  60130,,"rgb(199,216,253)",*,2995206,10394
36492,112.6211726,2.26225368,6.96,1.28,,K0,HD  59511,,"rgb(254,207,162)",*,988542,3968
36496,112.62883147,-54.39936495,5.95,7.53,,M1III,HD  60228,,"rgb(253,199,146)",*,3021214,3669
36499,112.64001242,5.25464043,6.91,4.27,,B9,HD  59538,,"rgb(205,219,254)",*,987801,9777
36515,112.67713002,-37.33936076,6.66,45.93,,G3V,HD  59967,,"rgb(255,240,233)",PM*,999017,5811
36514,112.67750874,-30.96228109,4.65,1.86,,G2Ib...,HD  59890,,"rgb(255,230,207)",*,997223,4985
36521,112.69778354,-9.77688981,6.81,1.45,,K0Ibpvar,V* U Mon,,"rgb(255,220,188)",RV*,990286,4523
36526,112.71305779,-5.2264937,6.24,0.39,,K0,HD  59669,,"rgb(255,216,180)",*,990024,4338
36528,112.71956587,68.46562083,5.63,7.2,,K2III,HD  58425,,"rgb(255,220,188)",*,381761,4514
36536,112.73663546,51.99872205,6.79,9.36,,A5,HD  59057,,"rgb(227,234,255)",*,413818,8086
36539,112.74462634,-10.1075252,6.6,3.14,,K2,HD  59730,,"rgb(253,197,143)",V*,990259,3618
36541,112.74627836,-2.1648881,6.96,2.74,,G5,HD  59690,,"rgb(255,231,209)",**,988932,5050
36547,112.76859933,82.41146587,4.92,6.89,,M4IIIa,V* VZ Cam,,"rgb(253,197,142)",LP*,346163,3603
36553,112.78659955,11.20297863,6.38,4.58,,K0,HD  59603,,"rgb(254,212,171)",*,987179,4161
36565,112.82233523,-1.12587823,6.57,7.03,,G5,HD  59726,,"rgb(255,221,190)",*,988918,4576
36569,112.83298137,-14.96560012,6.95,6.81,,G6/G8III,HD  59856,,"rgb(255,225,197)",*,991465,4728
36582,112.85736278,-36.15325568,6.66,3.52,,B3V,HD  60098,,"rgb(191,211,254)",V*,998644,11902
36595,112.90045775,62.50183146,7.0,6.47,,A0...,HD  58917,,"rgb(211,224,255)",*,394949,9195
36608,112.92792812,-35.88781372,6.61,3.69,1.32,B8V,V* PS Pup,,"rgb(194,213,254)",El*,998641,11184
36616,112.95165393,17.08604591,5.45,10.81,,K2III,HD  59686,,"rgb(255,219,185)",PM*,986570,4459
36624,112.9818109,38.89606775,6.56,10.61,,A2V,HD  59507,,"rgb(210,223,255)",*,982498,9256
36629,112.99241457,-5.94265445,6.84,-0.07,,K0,HD  59929,,"rgb(254,210,169)",*,989774,4114
36631,112.9968754,12.66130242,6.51,7.16,,G5,HD  59764,,"rgb(255,225,197)",*,987176,4742
36634,113.00923221,61.75778376,6.68,6.65,,G5,HD  59033,,"rgb(255,226,198)",PM*,394992,4769
36636,113.01117616,2.72540282,6.86,7.78,,A0,HD  59880,,"rgb(209,222,255)",*,988169,9338
36640,113.02401143,-8.88132568,5.9,33.4,,F5V,HD  59984,,"rgb(252,243,242)",PM*,990766,6212
36641,113.02478714,1.91448091,5.24,4.14,,F0III,* del01 CMi,,"rgb(229,235,255)",*,988544,7937
36657,113.09279732,-35.96118827,6.35,4.41,,B8V,HD  60312,,"rgb(193,212,254)",**,998688,11505
36663,113.14385017,21.40775531,6.81,6.92,,G5,HD  59828,,"rgb(255,226,199)",*,985822,4793
36682,113.19228536,-53.55524264,6.98,1.72,0.98,B4/B5V,V* V454 Car,,"rgb(193,212,254)",EB*,3008786,11326
36687,113.2056235,-2.03437298,6.82,6.4,,A0,HD  60086,,"rgb(199,216,253)",*,988985,10421
36690,113.21094471,22.88760613,6.54,6.88,,F8V...,HD  59878,,"rgb(255,225,197)",*,985809,4747
36721,113.29073522,-24.71073141,5.84,10.66,,A3III,HD  60345,,"rgb(220,230,255)",*,995885,8519
36723,113.2986082,3.29037884,5.59,23.44,,F2V,* del02 CMi,,"rgb(239,240,255)",*,988243,7330
36728,113.3048262,-40.05852223,6.27,4.85,1.94,B8IV (p Si),V* V376 Pup,,"rgb(190,210,255)",EB*,999433,12084
36729,113.30551819,-43.08619892,6.53,6.42,,G8III,HD  60574,,"rgb(255,229,205)",*,2962474,4948
36732,113.3315196,-19.41252479,5.64,11.15,,K0III,HD  60341,,"rgb(255,219,186)",PM*,994425,4469
36735,113.34084467,-68.76852656,6.6,6.27,,A1/A2V,HD  61312,,"rgb(205,219,254)",*,3149713,9765
36736,113.34243823,-14.33830692,6.21,2.16,,B2II,HD  60325,,"rgb(195,214,253)",*,991599,10956
36739,113.35261876,15.63913111,6.64,5.23,,K0,*  67 Gem,,"rgb(255,222,190)",*,986654,4578
36740,113.35345174,37.18789709,6.4,6.16,,K0,HD  59826,,"rgb(255,214,175)",*,982572,4248
36745,113.3638282,-50.58425535,6.69,0.83,,B3IV,HD  60753,,"rgb(193,212,254)",*,2995291,11358
36746,113.3645302,11.01171232,6.8,2.19,,M...,V* BP CMi,,"rgb(255,239,227)",LP*,987221,5601
36760,113.40200513,15.82666172,5.27,8.69,,A1Vn,*  68 Gem,,"rgb(208,221,254)",**,986650,9487
36773,113.44984673,-14.52389229,4.82,0.97,,A4Ia,V* KQ Pup,,"rgb(254,208,164)",s*r,991706,4013
36775,113.45937242,-43.11373094,6.68,3.12,,M1III,HD  60687,,"rgb(253,192,133)",V*,2962476,3442
36778,113.4626803,-36.33839158,5.42,2.56,,B2Vne,* z Pup,,"rgb(194,213,254)",Be*,998730,11215
36779,113.46465395,51.31414664,6.44,3.73,,K0,HD  59721,,"rgb(254,208,165)",*,439342,4037
36780,113.46819135,-28.56771043,6.77,7.46,,A6:V+...,HD  60555,,"rgb(237,239,255)",*,996671,7411
36787,113.49283491,-39.90580678,6.76,5.81,,K2III,HD  60686,,"rgb(255,219,185)",PM*,999581,4452
36795,113.51325205,-22.29606692,4.44,38.91,,F6V,HD  60532,,"rgb(252,243,244)",PM*,995119,6295
36796,113.52068151,10.56807636,6.28,7.76,,A1V,HD  60275,,"rgb(204,219,254)",*,987244,9858
36807,113.55344052,-33.46343022,6.11,11.37,,A9IV,HD  60646,,"rgb(236,239,255)",PM*,998001,7480
36808,113.55397701,-20.13741271,6.93,1.28,,B2II,HD  60553,,"rgb(186,208,255)",*,994474,12902
36809,113.55481976,-16.18776774,6.72,17.16,,G2V,HD  60513,,"rgb(254,241,236)",PM*,993713,5928
36812,113.56621747,3.37172531,5.83,4.82,,A0Vnn,* del03 CMi,,"rgb(199,216,253)",*,988246,10355
36817,113.57757258,-23.47366083,5.06,34.41,,F6V,* n Pup,,"rgb(249,243,248)",**,996133,6537
36837,113.62017325,-26.11685439,6.64,9.65,,A0V,HD  60629,,"rgb(201,217,253)",*,996850,10213
36836,113.62040262,-13.8701757,6.71,21.8,,F7II/III,HD  60552,,"rgb(250,243,246)",PM*,991814,6443
36841,113.63162768,28.68657727,6.66,5.14,,G5,HD  60204,,"rgb(255,228,204)",*,985048,4917
36848,113.64497847,-27.01227499,5.78,10.41,,K1III,HD  60666,,"rgb(255,223,193)",PM*,996564,4637
36850,113.64942834,31.88827629,1.58,63.27,,A2Vm,* alf Gem,Castor | Castor AB,"rgb(205,220,254)",**,983633,9720
36856,113.66491707,-51.47451707,6.29,2.45,,A1III/IV,HD  61031,,"rgb(210,223,255)",*,3008383,9297
36858,113.66585547,80.89669727,6.54,4.23,,G7III:,HD  57508,,"rgb(255,227,201)",*,346237,4828
36863,113.68220497,-44.69195997,6.77,2.8,,K4III,HD 60906,,"rgb(254,200,148)",*,2962908,3714
36869,113.69254118,2.72549616,6.55,6.98,,A7III,HD  60489,,"rgb(229,235,255)",SB*,988251,7916
36875,113.71275437,-44.29614191,6.81,5.62,,A0V,HD  60929,,"rgb(198,215,253)",*,2962910,10515
36882,113.73921521,3.27659786,6.56,6.39,,G5,HD  60526,,"rgb(255,223,192)",PM*,988253,4625
36884,113.74792689,4.43951533,6.82,1.65,,K0,HD  60503,,"rgb(255,216,180)",*,988212,4348
36893,113.78089221,48.68086937,6.97,20.29,,F0,HD  60063,,"rgb(241,241,254)",*,439679,7135
36896,113.78666663,30.96092427,5.34,10.78,,K0III,HD  60318,,"rgb(255,225,196)",**,984319,4718
36914,113.84022176,-74.27495738,6.33,3.4,,B9,CD-73   375,,"rgb(203,218,254)",**,3177322,9929
36917,113.845387,-28.36932346,4.65,14.5,,B8V,* p Pup,,"rgb(191,211,254)",PM*,996677,11761
36918,113.84816722,-15.38249578,6.96,1.57,,K3III,HD  60742,,"rgb(254,201,150)",*,991702,3740
36919,113.84990013,28.62766467,7.0,9.39,,A3,HD  60383,,"rgb(226,233,255)",*,985051,8147
36922,113.85511649,7.57994816,6.66,10.1,,A0,HD  60563,,"rgb(206,221,254)",*,987849,9585
36934,113.8899,-26.62865071,6.62,6.85,,A1V,HD  60862,,"rgb(213,225,255)",*,996568,9047
36942,113.91551111,-52.53383621,4.93,8.28,,K3III,* Q Car,,"rgb(254,207,163)",V*,3008416,3995
36961,113.97654636,-23.54870909,6.78,2.71,,K1III,HD  60922,,"rgb(255,217,182)",**,996137,4392
36962,113.98060996,26.89574074,4.06,13.57,,K5III,* ups Gem,,"rgb(254,200,149)",PM*,985072,3734
36965,113.98324059,43.03095926,6.37,8.29,0.35,F0,HD  60335,,"rgb(242,241,254)",EB*,469716,7077
36977,114.0066829,-55.88770805,6.39,5.42,,K1/K2IIICN.,HD  61394,,"rgb(255,216,180)",*,3021272,4344
36980,114.01457829,-57.29587544,6.64,7.21,,K2III/IV,HD  61436,,"rgb(255,215,178)",PM*,3034856,4300
36981,114.016224,-14.49277108,5.66,1.97,,B2/3V(n),HD  60855,,"rgb(195,213,253)",Be*,991777,11046
36982,114.01749064,-77.63410863,6.72,2.84,,M0III,HD  62689,,"rgb(253,193,135)",V*,3193845,3479
36986,114.03087953,-22.16050499,6.4,4.72,,K1II,HD  60951,,"rgb(255,227,200)",*,995124,4820
36992,114.05751941,-44.95762586,6.9,8.98,11.75,K2III,V* V344 Pup,,"rgb(255,224,195)",RS*,2962916,4678
37000,114.069569,-8.31130237,6.27,5.26,,K2,HD  60853,,"rgb(254,200,149)",*,990317,3732
37007,114.08023836,-69.05654027,6.88,2.76,,B8V,HD  61950,,"rgb(200,217,253)",*,3149545,10264
37013,114.1087987,-54.18722269,6.82,5.34,,A0V,HD  61435,,"rgb(206,220,254)",**,3021229,9618
37023,114.13180985,46.18028782,5.66,6.29,,M0III,HD  60437,,"rgb(254,200,148)",*,453319,3705
37025,114.13258742,-25.33278261,6.85,1.28,,B2III,HD  61071,,"rgb(194,213,254)",**,995946,11231
37031,114.14460971,5.8621715,5.89,22.92,,G0V,HD  60803,,"rgb(254,242,237)",SB*,987903,5959
