hip,ra,dec,Vmag,plx,period,SpType,main_id,NAME,rgb,otype_txt,oid,temp
443,1.33392048,-5.7076182,4.61,25.38,,K1III,*  33 Psc,,"rgb(255,224,194)",RS*,1344629,4674
448,1.34266278,3.60609178,6.91,6.75,,G5,HD     43,,"rgb(255,219,186)",*,1403471,4471
458,1.36767632,-7.66542028,6.97,3.07,,K5,HD     62,,"rgb(254,204,157)",*,1344672,3879
472,1.41553563,55.70989788,6.99,4.25,,K0III,HD     71,,"rgb(255,216,179)",*,80667,4334
476,1.42483879,13.39626645,5.55,8.75,,G5III,*  86 Peg,,"rgb(255,230,207)",*,1434619,4993
496,1.48638093,24.5690046,6.9,5.31,,K5,HD    100,,"rgb(253,199,148)",*,1482947,3699
502,1.50222842,28.27694911,6.62,2.9,,K5III,HD    111,,"rgb(254,201,150)",*,1501990,3747
508,1.51772224,40.41853013,6.65,3.28,,G5,HD    110,,"rgb(255,229,206)",**,1555327,4964
518,1.56589255,58.43673285,5.98,49.3,,G5V,HD 123,,"rgb(255,239,229)",**,105666,5646
522,1.57989765,-49.07519111,5.7,39.0,,G1IV...,HD    142,,"rgb(251,243,244)",PM*,7932118,6303
525,1.58420043,40.89874554,6.93,8.6,,K0,HD    145,,"rgb(255,221,189)",PM*,1555317,4545
531,1.61058271,64.19616861,5.57,3.32,,B9III,*  10 Cas,,"rgb(199,216,253)",Be*,164306,10421
540,1.64808388,28.55340396,6.68,5.13,,G9III,HD    167,,"rgb(255,226,199)",*,1502073,4776
544,1.65326652,29.02150171,6.07,72.98,,K0V,HD 166,,"rgb(255,237,222)",BY*,1502114,5429
560,1.70869275,-23.10753988,6.19,25.59,,F2IV,HD    203,,"rgb(244,242,253)",PM*,1277023,6955
567,1.72203422,-38.87766756,6.91,3.69,,K0III,HD    213,,"rgb(255,219,185)",*,1195154,4465
602,1.82611113,-17.38698966,6.2,6.24,,A2IV/V,HD    256,,"rgb(217,228,255)",**,1295352,8720
619,1.8965934,31.66900064,6.87,6.05,,G5,HD    281,,"rgb(255,219,185)",**,1511815,4463
626,1.90800965,40.14795368,6.73,10.14,,G5,HD    290,,"rgb(255,227,202)",SB*,1555331,4863
631,1.92066392,-65.93242753,6.83,7.84,,K1/K2III,HD    323,,"rgb(255,217,182)",PM*,3280642,4392
635,1.93380486,-2.54867948,6.43,6.69,,B8IIIsp...,*   4 Cet,,"rgb(189,210,255)",V*,1367986,12409
636,1.94541637,-22.50855978,5.93,12.45,,A1V,HD    319,,"rgb(218,228,255)",PM*,1277027,8649
655,2.0145307,-33.52932605,5.67,10.02,,K1III,HD    344,,"rgb(255,219,186)",HB*,1224060,4474
664,2.05040062,-2.44771079,6.18,3.25,48.34,K2III,*   5 Cet,,"rgb(254,208,164)",EB*,1368259,4006
671,2.07305222,-8.82411211,5.99,9.79,,G8III:,HD    360,,"rgb(255,223,194)",HB*,1327529,4662
677,2.09691071,29.09043199,2.07,33.6,,B9p,* alf And,Alpheratz | Sirrah,"rgb(198,215,253)",a2*,1502055,10625
695,2.13689902,63.20404041,6.41,2.17,,G3II,HD    371,,"rgb(255,225,197)",*,164318,4747
696,2.13957031,-17.57815508,6.11,2.42,,M0/M1IIICNp,V* CF Cet,,"rgb(253,196,140)",LP*,1295346,3562
699,2.1705757,36.62712509,6.21,30.26,,F8IV,HD 400,,"rgb(251,243,245)",PM*,1543921,6370
714,2.20834896,40.49454927,6.82,3.19,,K5,HD    414,,"rgb(253,199,147)",*,1555321,3694
716,2.21723556,25.46298481,6.24,7.78,,K0III,HD    417,,"rgb(255,226,200)",PM*,1492393,4801
728,2.25067139,28.24754279,6.47,8.65,,A4Vm,HD    434,,"rgb(231,236,255)",SB*,1501988,7851
729,2.2601029,18.21196314,5.57,11.17,,G9III,*  87 Peg,,"rgb(255,223,193)",PM*,1461720,4641
730,2.25997397,-54.00193122,6.32,7.0,,G4IV...,HD    469,,"rgb(255,237,224)",**,3281479,5474
737,2.2653089,40.84285922,6.93,16.09,,G5,HD 445,,"rgb(255,234,217)",PM*,1555309,5280
746,2.29452113,59.1497796,2.28,59.89,0.1,F2III-IV,* bet Cas,Caph,"rgb(244,242,253)",dS*,129059,6988
760,2.3340655,79.71454544,6.01,8.56,,A7IV,BD+78     1,,"rgb(226,233,255)",**,278965,8139
761,2.33778595,-27.98792818,5.42,14.57,,F3V,* kap01 Scl,,"rgb(246,243,251)",**,1256677,6806
765,2.35267495,-45.74742618,3.88,23.28,,K0III,* eps Phe,,"rgb(255,224,196)",PM*,3282163,4711
798,2.46715583,-62.29679433,6.34,7.37,,A6V,HD    565,,"rgb(221,230,255)",*,3280838,8452
803,2.47925234,-2.56126599,6.84,2.68,,K2,HD    545,,"rgb(253,198,144)",*,1367987,3633
813,2.50917617,11.14581307,5.54,10.04,,B9V,*  34 Psc,,"rgb(195,214,253)",*,1423028,11000
814,2.50906524,-82.22404699,5.29,13.45,,K1/K2III,* gam03 Oct,,"rgb(255,223,192)",*,3274148,4628
829,2.53340406,-78.30071698,6.97,3.21,,K3III,HD    626,,"rgb(254,207,163)",*,3274713,3988
840,2.57862406,-5.24858764,5.84,18.18,,K1III,HD    587,,"rgb(255,226,200)",*,1355095,4808
841,2.58019098,46.07227168,5.01,3.24,,F2II,*  22 And,,"rgb(245,242,252)",*,6778,6853
857,2.62367037,57.16549458,6.74,6.52,,B7IV,HD    584,,"rgb(194,213,254)",*,105159,11153
858,2.63499513,33.13088444,6.83,4.74,,K4III,HD    613,,"rgb(254,205,158)",*,1511786,3903
860,2.64441748,59.67340678,6.7,1.66,,B1V,HD    593,,"rgb(200,216,253)",*,129184,10342
865,2.66064615,-73.22438924,6.66,15.06,,F3/F5IV+...,HD    661,,"rgb(243,242,253)",**,3274952,7032
873,2.67847777,-12.57989671,5.84,15.35,,K0III,HD    645,,"rgb(255,225,197)",RG*,1314536,4742
881,2.69542064,-34.86071509,6.89,4.7,,K0III,HD    656,,"rgb(255,227,202)",PM*,1208744,4863
902,2.78272723,57.58794136,6.68,4.43,,K1III,HD    663,,"rgb(255,215,177)",*,105162,4285
906,2.79019421,-3.32138885,6.74,3.88,,G5,HD    688,,"rgb(255,224,195)",*,1355059,4683
910,2.81607181,-15.46797744,4.89,52.94,,F5V,*   6 Cet,,"rgb(250,243,246)",PM*,1304559,6448
930,2.89341697,-27.79973666,5.41,5.61,,K2III,* kap02 Scl,,"rgb(254,209,165)",*,1257212,4040
932,2.89718436,-18.600657,6.93,7.77,,K0III,HD    731,,"rgb(255,225,198)",*,1295578,4757
950,2.93336928,-35.13311958,5.24,45.85,,F3/F5V,* tet Scl,,"rgb(249,243,248)",PM*,1209190,6580
966,2.98356939,-42.17214423,6.53,7.97,,K0III,HD    770,,"rgb(255,223,193)",PM*,1152112,4646
967,2.9961879,48.15239646,6.18,5.93,,K4III,HD    743,,"rgb(254,203,155)",PM*,21586,3843
969,3.00573047,23.47174939,6.58,6.88,,K0III,HD    756,,"rgb(255,226,198)",PM*,1483171,4766
973,3.01258669,-13.81317915,6.56,6.05,,K0III,HD    780,,"rgb(255,221,190)",*,1314751,4571
